tier,id,name,brand,subBrand,pitchKey,firmnessScore,firmnessLabel,price,quizTags,displayBadges,highlight,locally-made,features,reason_cooling,reason_pressureRelief,reason_motionIsolation,reason_support,reason_plush,reason_medium,reason_firm,reason_durability,reason_default,topPickReason
gold,g1,Caitlin,Spring Air,Copper,,2,Plush,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,Copper-infused cooling for clean and gentle sleep,yes,plush|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|soft|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils","Welcoming, soft plush feel for side sleepers",,,Premium foams and premium spring,"Copper-infused cooling with motion isolating specialty foams for clean, cool, gentle sleep",Plush comfort with copper-infused foam that pulls heat away from your body all night.
gold,g2,Celine,Spring Air,Copper,,5,Medium,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,Copper-infused cooling for clean and gentle sleep,yes,medium|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils",,Perfect medium feel for most sleepers,,Premium foams and premium spring,"Copper-infused cooling with motion isolating foam for clean, cool, gentle sleep",Balanced feel with copper cooling — the middle ground between sink and support.
gold,g3,Camryn,Spring Air,Copper,,9,Firm,,Hybrid|Copper|Cooling,Hybrid|Copper|Cooling,Copper-infused cooling for clean and gentle sleep,yes,firm|cooling|pressure-relief|hybrid|motion-isolation|copper|anti-viral|anti-bacterial|anti-microbial|anti-inflammatory|memory|hypoallergenic,NatuVerex copper infusion draws heat away,Copper Memory Foam and Hyper-Gel Foam,Pocketed coils minimize partner disturbance,"Five-zone, 948 coil-count pocketed coils",,,Extra firm for stomach sleepers and larger builds,Premium foams and premium spring,"Copper-infused cooling with motion isolating foam for clean, cool, gentle sleep","Firm support with copper-infused cooling — solid underneath, cool on top."
gold,g4,Athena,Spring Air,Last Mattress,,6,Medium,,Hybrid|Latex|Hand-Tufted,Hybrid|Latex|Hand-Tufted,Hand-tufted latex hybrid with a lifetime warranty,yes,medium|cooling|support|hybrid|responsive|latex|hand-tufting|lifetime-warranty|zoned|durability|hypoallergenic|adjustable,Phase change technology - cool-to-the-touch fabrics that adjust to temperature,"Talalay latex for natural and durable pressure-relieving comfort layer. Breathable, antimicrobial, and hypo-allergenic",Pocketed coils minimize partner disturbance,QUANTUM ENCASED COIL UNIT with 1575 individually encased 17 gauge coils,,Perfect medium feel for most sleepers,,"Hand-tufted, lifetime warranty",Ultra premium hand-tufted hybrid with multiple specialty foams and a lifetime warranty,Latex-hybrid construction with hand-tufted finish — responsive support built to last.
gold,g5,Zeus,Spring Air,Last Mattress,,10,Firm,,Hybrid|Hand-Tufted,Hybrid|Hand-Tufted,Firm hand-tufted hybrid built for serious support,yes,firm|cooling|support|hybrid|responsive|quality|hand-tufting|lifetime-warranty|zoned|durability|hypoallergenic|adjustable,Phase change technology - cool-to-the-touch fabrics that adjust to temperature,"Talalay latex for natural and durable pressure-relieving comfort layer. Breathable, antimicrobial, and hypo-allergenic",Pocketed coils minimize partner disturbance,QUANTUM ENCASED COIL UNIT with 1575 individually encased 17 gauge coils,,,Extra firm for stomach sleepers and larger builds,"Hand-tufted, lifetime warranty",Ultra premium hand-tufted hybrid with multiple specialty foams and a lifetime warranty,The firmest mattress we make — hand-tufted hybrid built for serious support.
gold,g6,Aphrodite,Spring Air,Last Mattress,,3,Plush,,Hybrid|Hand-Tufted,Hybrid|Hand-Tufted,Cloud-like plush with hand-tufted luxury construction,yes,plush|cooling|support|hybrid|responsive|quality|hand-tufting|lifetime-warranty|soft|zoned|durability|hypoallergenic|adjustable,Phase change technology - cool-to-the-touch fabrics that adjust to temperature,"Talalay latex for natural and durable pressure-relieving comfort layer. Breathable, antimicrobial, and hypo-allergenic",Pocketed coils minimize partner disturbance,QUANTUM ENCASED COIL UNIT with 1575 individually encased 17 gauge coils,Cloud-like plush feel for side sleepers,,,"Hand-tufted, lifetime warranty",Ultra premium hand-tufted hybrid with multiple specialty foams and a lifetime warranty,Hand-tufted plush comfort with hybrid support underneath — softness that doesn't sacrifice structure.
gold,g7,Maria,Spring Air,Fleur de Lis,,2,Plush,,Hybrid|Latex|Hand-Tufted|Back Supporter,Hybrid|Latex|Back Supporter,Silk and wool cover with back-supporting dual-gauge coils,yes,plush|cooling|hand-tufting|latex|pressure-relief|back-supporter-technology|hybrid|motion-isolation|quality|soft|zoned|durability|hypoallergenic|memory,"Cool, silk and wool damask cover helps regulate temperature",Full layers of Serene Foam and Cool-Gel Memory Foam,Pocketed coils minimize partner disturbance,"Hand-tufted, Back Supporter dual gauge spring - firmer center coils for lumbar support","Welcoming, soft plush feel for side sleepers",,,Hand-tufted,"Cool, hand-tufted, silk and wool damask cover, multiple specialty foams, individually pocketed coils","Latex-over-Back Supporter coils — soft cradle, clinical-grade spinal alignment."
gold,g8,Eleanor,Spring Air,Fleur de Lis,,5,Medium,,Hybrid|Latex|Hand-Tufted|Back Supporter,Hybrid|Latex|Back Supporter,Silk and wool cover with back-supporting dual-gauge coils,yes,medium|cooling|hand-tufting|latex|pressure-relief|back-supporter-technology|hybrid|motion-isolation|quality|zoned|durability|hypoallergenic|memory,"Cool, silk and wool damask cover helps regulate temperature",Full layers of Serene Foam and Cool-Gel Memory Foam,Pocketed coils minimize partner disturbance,"Hand-tufted, Back Supporter dual gauge spring - firmer center coils for lumbar support",,Perfect medium feel for most sleepers,,Hand-tufted,"Cool, hand-tufted, silk and wool damask cover, multiple specialty foams, individually pocketed coils",Latex comfort with zoned Back Supporter coils targeted for lumbar alignment.
gold,g9,Genevieve,Spring Air,Fleur de Lis,,9,Firm,,Hybrid|Latex|Hand-Tufted|Back Supporter,Hybrid|Latex|Back Supporter,Silk and wool cover with back-supporting dual-gauge coils,yes,firm|cooling|hand-tufting|latex|pressure-relief|back-supporter-technology|hybrid|motion-isolation|quality|zoned|durability|hypoallergenic|memory,"Cool, silk and wool damask cover helps regulate temperature",Full layers of Serene Foam and Cool-Gel Memory Foam,Pocketed coils minimize partner disturbance,"Hand-tufted, Back Supporter dual gauge spring - firmer center coils for lumbar support",,,Extra firm for stomach sleepers and larger builds,Hand-tufted,"Cool, hand-tufted, silk and wool damask cover, multiple specialty foams, individually pocketed coils",Firm latex surface over Back Supporter coils — serious support with no pressure points.
silver,g10,Hailey,Spring Air,Back Supporter Hybrid,Back Supporter Hybrid (Phase Change),2,Plush,,Hybrid|Back Supporter|Cooling,Hybrid|Cooling|Back Supporter,Multi-layer cooling foam meets zoned lumbar support,yes,medium|cooling|serene-foam|gel-memory-foam|motion-isolation|back-supporter-technology|quality|comfort|hybrid|soft|zoned|durability|memory,Maximum cooling phase-change cover,Hyper Soft Memory Foam + Serene Foam + Gel Memory Foam for exceptional pressure relief,Pocketed coils minimize partner disturbance,Back Supporter dual gauge spring - firmer center coils for lumbar support,True cloud-like plush feel for side sleepers,,,,Blends cooling comfort with targeted motion-separating support and multiple layers of pressure-relieving foam,"Plush cooling hybrid with Back Supporter coils — soft surface, supported spine."
